namespace_prefix	namespace_name	repository	repository_url	confirmation_evidence	local_evidence_paths
bitterdb.rec	BitterDB Receptor	bitterdb	https://github.com/biobricks-ai/bitterdb	registry provider domain plus namespace-specific metadata token: bitterdb.agri.huji.ac.il; bitterdb	/mnt/raid2/biobricks/bitterdb/.bb/brick.jsonld;/mnt/raid2/biobricks/bitterdb/dvc.yaml;/mnt/raid2/biobricks/bitterdb/stages/01_download.py;/mnt/raid2/biobricks/bitterdb/stages/02_build.py
bmrb	Biological Magnetic Resonance Data Bank	bmrb-nmr-csv-tables	https://github.com/biobricks-ai/bmrb-nmr-csv-tables	registry provider domain plus namespace-specific metadata token: bmrb.io; bmrb	/mnt/raid2/biobricks/bmrb-nmr-csv-tables/.bb/brick.jsonld;/mnt/raid2/biobricks/bmrb-nmr-csv-tables/dvc.yaml;/mnt/raid2/biobricks/bmrb-nmr-csv-tables/stages/01_download.py;/mnt/raid2/biobricks/bmrb-nmr-csv-tables/stages/02_build.py
brenda	BRENDA	brenda	https://github.com/biobricks-ai/brenda	registry provider domain plus namespace-specific metadata token: www.brenda-enzymes.org; brenda	/mnt/raid2/biobricks/brenda/.bb/brick.jsonld;/mnt/raid2/biobricks/brenda/README.md;/mnt/raid2/biobricks/brenda/dvc.yaml;/mnt/raid2/biobricks/brenda/stages/brenda_parse.py
broad	Broad Fungal Genome Initiative	drug-repurposing-hub-broad-metadata	https://github.com/biobricks-ai/drug-repurposing-hub-broad-metadata	registry provider domain plus namespace-specific metadata token: www.broadinstitute.org; broad	/mnt/raid2/biobricks/drug-repurposing-hub-broad-metadata/.bb/brick.jsonld;/mnt/raid2/biobricks/drug-repurposing-hub-broad-metadata/.bb/source.jsonld;/mnt/raid2/biobricks/drug-repurposing-hub-broad-metadata/dvc.yaml;/mnt/raid2/biobricks/drug-repurposing-hub-broad-metadata/stages/01_download.py
cas	CAS	acute-toxicity-115-rdf	https://github.com/biobricks-ai/acute-toxicity-115-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/acute-toxicity-115-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/acute-toxicity-115-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/acute-toxicity-115-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/acute-toxicity-115-rdf/health/build-status.json
cas	CAS	anses-trv-rdf	https://github.com/biobricks-ai/anses-trv-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/anses-trv-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/anses-trv-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/anses-trv-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/anses-trv-rdf/health/build-status.json
cas	CAS	bayer-dili-rdf	https://github.com/biobricks-ai/bayer-dili-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/bayer-dili-rdf/README.md;/home/insilica/git/com.toxindex/bayer-dili-rdf/dvc.yaml;/home/insilica/git/com.toxindex/bayer-dili-rdf/stages/convert.py;/home/insilica/git/com.toxindex/bayer-dili-rdf/health/build-status.json
cas	CAS	cesar-canada-rdf	https://github.com/biobricks-ai/cesar-canada-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/cesar-canada-rdf/README.md;/home/insilica/git/com.toxindex/cesar-canada-rdf/dvc.yaml;/home/insilica/git/com.toxindex/cesar-canada-rdf/stages/__init__.py;/home/insilica/git/com.toxindex/cesar-canada-rdf/stages/convert.py
cas	CAS	chemsec-sin-list-rdf	https://github.com/biobricks-ai/chemsec-sin-list-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/chemsec-sin-list-rdf/README.md;/home/insilica/git/com.toxindex/chemsec-sin-list-rdf/dvc.yaml;/home/insilica/git/com.toxindex/chemsec-sin-list-rdf/stages/__init__.py;/home/insilica/git/com.toxindex/chemsec-sin-list-rdf/stages/convert.py
cas	CAS	china-iecsc-rdf	https://github.com/biobricks-ai/china-iecsc-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/china-iecsc-rdf/README.md;/home/insilica/git/com.toxindex/china-iecsc-rdf/dvc.yaml;/home/insilica/git/com.toxindex/china-iecsc-rdf/stages/__init__.py;/home/insilica/git/com.toxindex/china-iecsc-rdf/stages/convert.py
cas	CAS	cmaup-rdf	https://github.com/biobricks-ai/cmaup-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/cmaup-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/cmaup-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/cmaup-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/cmaup-rdf/health/build-status.json
cas	CAS	csc-red-list-rdf	https://github.com/biobricks-ai/csc-red-list-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/csc-red-list-rdf/README.md;/home/insilica/git/com.toxindex/csc-red-list-rdf/dvc.yaml;/home/insilica/git/com.toxindex/csc-red-list-rdf/stages/__init__.py;/home/insilica/git/com.toxindex/csc-red-list-rdf/stages/convert.py
cas	CAS	cyp-sites-of-metabolism-rdf	https://github.com/biobricks-ai/cyp-sites-of-metabolism-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/cyp-sites-of-metabolism-rdf/README.md;/home/insilica/git/com.toxindex/cyp-sites-of-metabolism-rdf/dvc.yaml;/home/insilica/git/com.toxindex/cyp-sites-of-metabolism-rdf/stages/convert.py;/home/insilica/git/com.toxindex/cyp-sites-of-metabolism-rdf/health/build-status.json
cas	CAS	echa-biodegradability-rdf	https://github.com/biobricks-ai/echa-biodegradability-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/echa-biodegradability-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/echa-biodegradability-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/echa-biodegradability-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/echa-biodegradability-rdf/health/build-status.json
cas	CAS	echa-corap-rdf	https://github.com/biobricks-ai/echa-corap-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/echa-corap-rdf/README.md;/home/insilica/git/com.toxindex/echa-corap-rdf/dvc.yaml;/home/insilica/git/com.toxindex/echa-corap-rdf/stages/__init__.py;/home/insilica/git/com.toxindex/echa-corap-rdf/stages/convert.py
cas	CAS	endocrine-disruption-data-rdf	https://github.com/biobricks-ai/endocrine-disruption-data-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/endocrine-disruption-data-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/endocrine-disruption-data-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/endocrine-disruption-data-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/endocrine-disruption-data-rdf/health/build-status.json
cas	CAS	envichem-finland-rdf	https://github.com/biobricks-ai/envichem-finland-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/envichem-finland-rdf/README.md;/home/insilica/git/com.toxindex/envichem-finland-rdf/dvc.yaml;/home/insilica/git/com.toxindex/envichem-finland-rdf/stages/convert.py;/home/insilica/git/com.toxindex/envichem-finland-rdf/health/build-status.json
cas	CAS	environmental-persistence-rdf	https://github.com/biobricks-ai/environmental-persistence-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/environmental-persistence-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/environmental-persistence-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/environmental-persistence-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/environmental-persistence-rdf/health/build-status.json
cas	CAS	epa-chemexpo-rdf	https://github.com/biobricks-ai/epa-chemexpo-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/epa-chemexpo-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/epa-chemexpo-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/epa-chemexpo-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/epa-chemexpo-rdf/health/build-status.json
cas	CAS	epa-hf-qsar-rdf	https://github.com/biobricks-ai/epa-hf-qsar-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/epa-hf-qsar-rdf/README.md;/home/insilica/git/com.toxindex/epa-hf-qsar-rdf/dvc.yaml;/home/insilica/git/com.toxindex/epa-hf-qsar-rdf/stages/convert.py;/home/insilica/git/com.toxindex/epa-hf-qsar-rdf/health/license.json
cas	CAS	epa-physchem-rdf	https://github.com/biobricks-ai/epa-physchem-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/epa-physchem-rdf/README.md;/home/insilica/git/com.toxindex/epa-physchem-rdf/dvc.yaml;/home/insilica/git/com.toxindex/epa-physchem-rdf/stages/01_convert_rdf.py;/home/insilica/git/com.toxindex/epa-physchem-rdf/health/license.json
cas	CAS	epa-srs-rdf	https://github.com/biobricks-ai/epa-srs-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/epa-srs-rdf/README.md;/home/insilica/git/com.toxindex/epa-srs-rdf/dvc.yaml;/home/insilica/git/com.toxindex/epa-srs-rdf/stages/__init__.py;/home/insilica/git/com.toxindex/epa-srs-rdf/stages/convert.py
cas	CAS	fda-expanded-decision-tree-rdf	https://github.com/biobricks-ai/fda-expanded-decision-tree-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/fda-expanded-decision-tree-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/fda-expanded-decision-tree-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/fda-expanded-decision-tree-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/fda-expanded-decision-tree-rdf/health/build-status.json
cas	CAS	fish-tox-rdf	https://github.com/biobricks-ai/fish-tox-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/fish-tox-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/fish-tox-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/fish-tox-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/fish-tox-rdf/health/build-status.json
cas	CAS	food-contact-exposure-rdf	https://github.com/biobricks-ai/food-contact-exposure-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/food-contact-exposure-rdf/README.md;/home/insilica/git/com.toxindex/food-contact-exposure-rdf/dvc.yaml;/home/insilica/git/com.toxindex/food-contact-exposure-rdf/stages/convert.py;/home/insilica/git/com.toxindex/food-contact-exposure-rdf/health/license.json
cas	CAS	food-contact-priority-rdf	https://github.com/biobricks-ai/food-contact-priority-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/food-contact-priority-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/food-contact-priority-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/food-contact-priority-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/food-contact-priority-rdf/health/build-status.json
cas	CAS	genra-acute-toxicity-rdf	https://github.com/biobricks-ai/genra-acute-toxicity-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/genra-acute-toxicity-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/genra-acute-toxicity-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/genra-acute-toxicity-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/genra-acute-toxicity-rdf/health/build-status.json
cas	CAS	hbm4eu-cecscreen-rdf	https://github.com/biobricks-ai/hbm4eu-cecscreen-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/hbm4eu-cecscreen-rdf/README.md;/home/insilica/git/com.toxindex/hbm4eu-cecscreen-rdf/dvc.yaml;/home/insilica/git/com.toxindex/hbm4eu-cecscreen-rdf/stages/convert.py;/home/insilica/git/com.toxindex/hbm4eu-cecscreen-rdf/health/build-status.json
cas	CAS	human-llna-sensitization-rdf	https://github.com/biobricks-ai/human-llna-sensitization-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/human-llna-sensitization-rdf/README.md;/home/insilica/git/com.toxindex/human-llna-sensitization-rdf/dvc.yaml;/home/insilica/git/com.toxindex/human-llna-sensitization-rdf/stages/convert.py;/home/insilica/git/com.toxindex/human-llna-sensitization-rdf/health/build-status.json
cas	CAS	indonesia-hazardous-chemicals-rdf	https://github.com/biobricks-ai/indonesia-hazardous-chemicals-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/indonesia-hazardous-chemicals-rdf/README.md;/home/insilica/git/com.toxindex/indonesia-hazardous-chemicals-rdf/dvc.yaml;/home/insilica/git/com.toxindex/indonesia-hazardous-chemicals-rdf/stages/__init__.py;/home/insilica/git/com.toxindex/indonesia-hazardous-chemicals-rdf/stages/convert.py
cas	CAS	korea-kreach-rdf	https://github.com/biobricks-ai/korea-kreach-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/korea-kreach-rdf/README.md;/home/insilica/git/com.toxindex/korea-kreach-rdf/dvc.yaml;/home/insilica/git/com.toxindex/korea-kreach-rdf/stages/__init__.py;/home/insilica/git/com.toxindex/korea-kreach-rdf/stages/convert.py
cas	CAS	ld50-zhu-rdf	https://github.com/biobricks-ai/ld50-zhu-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/ld50-zhu-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/ld50-zhu-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/ld50-zhu-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/ld50-zhu-rdf/health/build-status.json
cas	CAS	milano-biodeg-rdf	https://github.com/biobricks-ai/milano-biodeg-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/milano-biodeg-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/milano-biodeg-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/milano-biodeg-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/milano-biodeg-rdf/health/build-status.json
cas	CAS	mitochondrial-toxicity-rdf	https://github.com/biobricks-ai/mitochondrial-toxicity-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/mitochondrial-toxicity-rdf/README.md;/home/insilica/git/com.toxindex/mitochondrial-toxicity-rdf/dvc.yaml;/home/insilica/git/com.toxindex/mitochondrial-toxicity-rdf/stages/convert.py;/home/insilica/git/com.toxindex/mitochondrial-toxicity-rdf/health/build-status.json
cas	CAS	mona-rdf	https://github.com/biobricks-ai/mona-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/mona-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/mona-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/mona-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/mona-rdf/health/build-status.json
cas	CAS	norman-sle-rdf	https://github.com/biobricks-ai/norman-sle-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/norman-sle-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/norman-sle-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/norman-sle-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/norman-sle-rdf/health/build-status.json
cas	CAS	ntp-ld50-variability-rdf	https://github.com/biobricks-ai/ntp-ld50-variability-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/ntp-ld50-variability-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/ntp-ld50-variability-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/ntp-ld50-variability-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/ntp-ld50-variability-rdf/health/license-review.json
cas	CAS	nz-nzioc-rdf	https://github.com/biobricks-ai/nz-nzioc-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/nz-nzioc-rdf/README.md;/home/insilica/git/com.toxindex/nz-nzioc-rdf/dvc.yaml;/home/insilica/git/com.toxindex/nz-nzioc-rdf/stages/__init__.py;/home/insilica/git/com.toxindex/nz-nzioc-rdf/stages/convert.py
cas	CAS	parc-edc-rdf	https://github.com/biobricks-ai/parc-edc-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/parc-edc-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/parc-edc-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/parc-edc-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/parc-edc-rdf/health/build-status.json
cas	CAS	pubchem-bioassays-rdf	https://github.com/biobricks-ai/pubchem-bioassays-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/pubchem-bioassays-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/pubchem-bioassays-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/pubchem-bioassays-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/pubchem-bioassays-rdf/health/build-status.json
cas	CAS	pubtator-rdf	https://github.com/biobricks-ai/pubtator-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/pubtator-rdf/README.md;/home/insilica/git/com.toxindex/pubtator-rdf/dvc.yaml;/home/insilica/git/com.toxindex/pubtator-rdf/stages/convert.py;/home/insilica/git/com.toxindex/pubtator-rdf/health/build-status.json
cas	CAS	ready-biodeg-rdf	https://github.com/biobricks-ai/ready-biodeg-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/ready-biodeg-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/ready-biodeg-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/ready-biodeg-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/ready-biodeg-rdf/health/build-status.json
cas	CAS	sangster-logp-rdf	https://github.com/biobricks-ai/sangster-logp-rdf	direct Identifiers.org namespace IRI in repository metadata/source	/home/insilica/git/com.toxindex/kg/graphs/sangster-logp-rdf/README.md;/home/insilica/git/com.toxindex/kg/graphs/sangster-logp-rdf/dvc.yaml;/home/insilica/git/com.toxindex/kg/graphs/sangster-logp-rdf/stages/convert.py;/home/insilica/git/com.toxindex/kg/graphs/sangster-logp-rdf/health/build-status.json
